objectid,kode_kec_spatial,nama_prop,nama_kab,nama_kec,jumlah_penduduk,kepadatan_penduduk,jumlah_kk,luas_wilayah,pertumbuhan_2022,pertumbuhan_2021,pertumbuhan_2020,perpindahan_pddk,jumlah_desa,jumlah_kelurahan,perdagangan,nelayan,wiraswasta,tidak_blm_sekolah,slta,s1
,731403.0,SULAWESI SELATAN,SIDENRENG RAPPANG,WATANG PULU,38601.0,20.78698903,12228.0,167.8,2.0,2.0,2.0,131.0,5.0,5.0,47.0,10.0,4709.0,11608.0,6310.0,1447.0
,360332.0,BANTEN,TANGERANG,GUNUNG KALER,56160.0,54.03320045,18755.0,32.89,1.0,2.0,2.0,112.0,9.0,,23.0,15.0,5461.0,13724.0,8036.0,490.0
,731504.0,SULAWESI SELATAN,PINRANG,WATANG SAWITTO,59730.0,31.2199623,19227.0,61.02,1.0,2.0,2.0,232.0,,8.0,74.0,40.0,10781.0,16338.0,12971.0,4586.0
,180718.0,LAMPUNG,LAMPUNG TIMUR,GUNUNG PELINDUNG,23745.0,6.17961522,7892.0,35.45,1.0,2.0,2.0,44.0,5.0,,84.0,10.0,3177.0,6082.0,2843.0,237.0
,731408.0,SULAWESI SELATAN,SIDENRENG RAPPANG,WATANG SIDENRENG,20657.0,11.19794793,6834.0,110.46,2.0,2.0,2.0,65.0,5.0,3.0,37.0,98.0,1844.0,6178.0,2677.0,378.0
,350520.0,JAWA TIMUR,BLITAR,WATES,31453.0,17.90900069,11774.0,93.65,1.0,1.0,1.0,90.0,8.0,,552.0,36.0,3741.0,5577.0,4274.0,549.0
,350606.0,JAWA TIMUR,KEDIRI,WATES,92885.0,60.86850363,33471.0,74.89,1.0,1.0,1.0,130.0,18.0,,2319.0,8.0,8390.0,15851.0,18587.0,3376.0
,620503.0,KALIMANTAN TENGAH,BARITO UTARA,GUNUNG PUREI,3007.0,0.29775235,1060.0,1298.48,2.0,1.0,1.0,4.0,11.0,,3.0,1.0,181.0,783.0,452.0,78.0
,320102.0,JAWA BARAT,BOGOR,GUNUNG PUTRI,294195.0,97.6877295,95563.0,62.31,1.0,1.0,2.0,871.0,10.0,,104.0,3.0,17740.0,67433.0,81244.0,20644.0
,340102.0,DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,WATES,50041.0,86.79299544,17459.0,33.38,1.0,1.0,1.0,99.0,7.0,1.0,572.0,22.0,4237.0,8931.0,16915.0,3750.0
,121112.0,SUMATERA UTARA,DAIRI,GUNUNG SITEMBER,11132.0,5.28411349,3377.0,72.15,1.0,1.0,2.0,54.0,8.0,,12.0,1.0,639.0,3471.0,1997.0,102.0
,130207.0,SUMATERA BARAT,SOLOK,GUNUNG TALANG,55984.0,15.4333607,17607.0,297.87,1.0,2.0,2.0,196.0,8.0,,25.0,5.0,4517.0,14784.0,9628.0,2672.0
,181204.0,LAMPUNG,TULANG BAWANG BARAT,GUNUNG TERANG,20722.0,16.25980043,6985.0,79.67,1.0,2.0,2.0,92.0,10.0,,25.0,5.0,3045.0,4728.0,2702.0,259.0
,150115.0,JAMBI,KERINCI,GUNUNG TUJUH,16146.0,4.64269667,5499.0,159.52,2.0,2.0,2.0,27.0,13.0,,73.0,,632.0,4096.0,2699.0,372.0
,950119.0,PAPUA PEGUNUNGAN,JAYAWIJAYA,ITLAY HISAGE,4459.0,1.67439454,1152.0,,0.0,0.0,0.0,7.0,9.0,,,,21.0,3064.0,241.0,28.0
,140907.0,RIAU,KUANTAN SINGINGI,GUNUNG TOAR,14440.0,2.62044002,4573.0,147.36,1.0,1.0,2.0,46.0,14.0,,12.0,3.0,1521.0,3883.0,2753.0,611.0
,320227.0,JAWA BARAT,SUKABUMI,GUNUNGGURUH,58070.0,13.92096158,20018.0,26.74,1.0,2.0,2.0,165.0,7.0,,96.0,3.0,4584.0,13809.0,9447.0,1477.0
