kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk
kota tangerang,batuceper,69.069,125.868,39.23,10.341,Built-up,0.211,0.068,37.386,2020,1,0,-6.1618,106.6703,95474.0
kota tangerang,benda,68.23,122.586,39.23,8.372,Built-up,0.252,0.098,37.386,2020,1,0,-6.13,106.6657,85769.0
kota tangerang,cibodas,63.479,116.679,39.23,19.751,Built-up,0.138,0.128,37.386,2020,1,0,-6.2058,106.608,158036.0
kota tangerang,ciledug,64.651,106.967,39.23,21.279,Built-up,0.24,0.132,37.445,2020,1,0,-6.2386,106.7059,150190.0
kota tangerang,cipondoh,68.831,124.504,39.23,11.897,Built-up,0.23,0.115,37.386,2020,1,1,-6.1862,106.683,231127.0
kota tangerang,jatiuwung,64.4,119.888,39.23,20.101,Built-up,0.159,0.172,37.386,2020,1,0,-6.198,106.5753,107510.0
kota tangerang,karangtengah,65.308,108.912,39.23,13.076,Built-up,0.241,0.156,37.386,2020,1,1,-6.2101,106.7097,167556.0
kota tangerang,karawaci,68.189,122.945,39.23,16.788,Built-up,0.181,0.102,37.386,2020,1,0,-6.1812,106.618,193480.0
kota tangerang,larangan,65.388,108.435,39.23,21.351,Built-up,0.213,0.155,37.389,2020,1,0,-6.2392,106.733,163375.0
kota tangerang,neglasari,68.355,124.341,39.23,11.542,Built-up,0.29,0.072,37.386,2020,1,0,-6.1429,106.6302,124907.0
kota tangerang,periuk,65.916,121.45,39.23,12.531,Built-up,0.222,0.129,37.386,2020,1,0,-6.1675,106.5943,144640.0
kota tangerang,pinang,63.445,106.659,39.23,19.041,Built-up,0.285,0.132,37.386,2020,1,0,-6.2153,106.6662,186671.0
kota tangerang,tangerang,66.82,121.068,39.23,17.193,Built-up,0.194,0.112,37.386,2020,1,0,-6.1888,106.6406,165575.0
tangerang selatan,ciputat,60.294,91.189,36.2,44.431,Built-up,0.325,0.212,40.842,2020,1,1,-6.3082,106.7277,224048.0
tangerang selatan,ciputattimur,62.359,97.429,36.2,41.355,Built-up,0.256,0.245,40.639,2020,1,1,-6.2988,106.7556,170001.0
tangerang selatan,pamulang,61.733,94.636,36.2,59.039,Built-up,0.314,0.233,40.786,2020,1,1,-6.3395,106.7391,326296.0
tangerang selatan,pondokaren,58.452,91.943,36.2,28.61,Built-up,0.269,0.18,40.541,2020,1,1,-6.2664,106.7114,297400.0
tangerang selatan,serpong,61.381,93.971,36.2,42.596,Built-up,0.34,0.214,40.893,2020,1,0,-6.3113,106.6807,165000.0
tangerang selatan,serpongutara,60.591,98.214,36.2,26.59,Built-up,0.254,0.18,39.116,2020,1,0,-6.2536,106.663,139215.0
tangerang selatan,setu,62.823,98.634,36.2,54.164,Tree cover,0.365,0.359,40.893,2020,1,0,-6.3637,107.0373,165907.0
tangerang,balaraja,67.503,137.503,27.07,20.277,Built-up,0.262,0.173,37.613,2020,1,0,-6.2048,106.4427,124129.0
tangerang,cikupa,65.828,131.398,27.07,25.2,Built-up,0.222,0.147,37.463,2020,1,0,-6.218,106.5159,209140.0
